"# energy-resolved -pCOHP (bonding>0), Gaussian sigma=0.1 eV; ICOHP(eV/bond): P–S -6.288, P–O -8.416, Li–S -1.751, Nd–S -4.080"
E_minus_EF_eV,-pCOHP_P-S,-pCOHP_P-O,-pCOHP_Li-S,-pCOHP_Nd-S
-15.0327,1.33009,0.19413,1.27743,-0.00011
-14.9826,3.34230,0.48822,3.16909,-0.00032
-14.9325,6.68426,0.97727,6.25744,-0.00072
-14.8824,10.63824,1.55682,9.83423,-0.00129
-14.8322,13.47032,1.97315,12.30047,-0.00182
-14.7821,13.56324,1.98865,12.24088,-0.00202
-14.7320,10.85214,1.59259,9.68698,-0.00176
-14.6819,6.89368,1.01254,6.09172,-0.00120
-14.6318,3.47340,0.51057,3.04161,-0.00064
-14.5817,1.38686,0.20400,1.20478,-0.00027
-14.5316,0.43849,0.06454,0.37829,-0.00009
-14.4815,0.10972,0.01616,0.09410,-0.00002
-14.4314,0.02171,0.00320,0.01852,-0.00000
-14.3813,0.00316,0.00047,0.00266,-0.00000
-14.3311,0.00012,0.00002,0.00010,-0.00000
-14.2811,0.00000,0.00000,0.00000,0.00000
-14.2309,0.00000,0.00000,0.00000,0.00000
-14.1808,0.00000,0.00000,0.00000,0.00000
-14.1307,0.00002,0.00000,0.00003,-0.00000
-14.0806,0.00192,0.00010,0.00282,-0.00000
-14.0305,0.01264,0.00067,0.01857,-0.00001
-13.9804,0.06430,0.00341,0.09436,-0.00003
-13.9303,0.25991,0.01370,0.38047,-0.00013
-13.8802,0.82555,0.04309,1.20528,-0.00039
-13.8301,2.09723,0.10745,3.04759,-0.00091
-13.7800,4.36536,0.21563,6.29295,-0.00165
-13.7299,7.71911,0.35713,10.99292,-0.00214
-13.6797,12.11893,0.50670,16.98964,-0.00163
-13.6296,17.46494,0.64161,24.06658,0.00045
-13.5795,23.29943,0.74513,31.49428,0.00401
-13.5294,28.74265,0.80026,37.78953,0.00854
-13.4793,33.31323,0.80118,41.88590,0.01385
-13.4292,37.35481,0.76385,44.18124,0.02025
-13.3791,40.83774,0.70291,45.31695,0.02790
-13.3290,42.34041,0.60940,44.50203,0.03605
-13.2789,40.23437,0.47296,40.36485,0.04303
-13.2288,34.46789,0.31369,33.00921,0.04647
-13.1786,26.52789,0.17278,24.18083,0.04415
-13.1285,18.21304,0.07789,15.81681,0.03577
-13.0784,10.94217,0.02856,9.11660,0.02407
-13.0283,5.60289,0.00852,4.52341,0.01320
-12.9782,2.38520,0.00208,1.88338,0.00584
-12.9281,0.82815,0.00041,0.64389,0.00207
-12.8780,0.23126,0.00006,0.17770,0.00058
-12.8279,0.05142,0.00000,0.03915,0.00013
-12.7778,0.00907,0.00000,0.00685,0.00002
-12.7277,0.00096,0.00000,0.00071,0.00000
-12.6776,0.00000,0.00000,0.00105,0.00031
-12.6274,0.00003,0.00000,0.00720,0.00216
-12.5773,0.00016,0.00002,0.03891,0.01148
-12.5272,0.00067,0.00008,0.16370,0.04762
-12.4771,0.00215,0.00025,0.54981,0.15687
-12.4270,0.00551,0.00066,1.50217,0.41630
-12.3769,0.01136,0.00141,3.41946,0.91018
-12.3268,0.01940,0.00247,6.69317,1.69600
-12.2767,0.02867,0.00370,11.62207,2.80565
-12.2266,0.03882,0.00491,18.34231,4.28157
-12.1765,0.05081,0.00602,26.65597,6.16483
-12.1264,0.06601,0.00720,35.96939,8.44493
-12.0762,0.08522,0.00879,45.68733,11.10228
-12.0261,0.10806,0.01107,55.66761,14.19504
-11.9760,0.13184,0.01394,65.90695,17.75199
-11.9259,0.15151,0.01660,75.74604,21.52269
-11.8758,0.16302,0.01794,83.85133,24.98268
-11.8257,0.16671,0.01731,88.98683,27.63179
-11.7756,0.16529,0.01507,90.34876,29.14613
-11.7255,0.15918,0.01212,87.38349,29.27418
-11.6754,0.14618,0.00912,80.03649,27.85142
-11.6253,0.12539,0.00632,69.27596,25.01760
-11.5752,0.09930,0.00391,56.81025,21.22881
-11.5251,0.07204,0.00207,44.03921,16.93907
-11.4749,0.04714,0.00092,31.66161,12.44817
-11.4248,0.02710,0.00034,20.38815,8.13651
-11.3747,0.01329,0.00010,11.32354,4.56180
-11.3246,0.00541,0.00003,5.26398,2.13274
-11.2745,0.00180,0.00001,2.00809,0.81626
-11.2244,0.00048,0.00000,0.62064,0.25272
-11.1743,0.00010,0.00000,0.15416,0.06284
-11.1242,0.00002,0.00000,0.03067,0.01250
-11.0741,0.00000,0.00000,0.00446,0.00182
-11.0240,0.00000,0.00000,0.00026,0.00011
-10.9739,0.00000,0.00000,0.00000,0.00000
-10.9238,0.00000,0.00000,0.00000,0.00000
-10.8736,0.00000,0.00000,0.00000,0.00000
-10.8235,0.00000,0.00000,0.00000,0.00000
-10.7734,0.00000,0.00000,0.00000,0.00000
-10.7233,0.00000,0.00000,0.00000,0.00000
-10.6732,0.00000,0.00000,0.00000,0.00000
-10.6231,0.00000,0.00000,0.00000,0.00000
-10.5730,0.00000,0.00000,0.00000,0.00000
-10.5229,0.00000,0.00000,0.00000,0.00000
-10.4728,0.00000,0.00000,0.00000,0.00000
-10.4227,0.00000,0.00000,0.00000,0.00000
-10.3726,0.00000,0.00000,0.00000,0.00000
-10.3224,0.00021,0.00034,0.00039,-0.00000
-10.2723,0.00149,0.00243,0.00285,-0.00000
-10.2222,0.00784,0.01276,0.01493,-0.00001
-10.1721,0.03245,0.05297,0.06183,-0.00002
-10.1220,0.10546,0.17259,0.20092,-0.00007
-10.0719,0.27171,0.44714,0.51749,-0.00018
-10.0218,0.56061,0.93258,1.06693,-0.00036
-9.9717,0.94323,1.60210,1.79215,-0.00057
-9.9216,1.33376,2.35343,2.52459,-0.00075
-9.8715,1.65676,3.11079,3.11110,-0.00082
-9.8214,1.90244,3.88467,3.52110,-0.00082
-9.7712,2.09821,4.66908,3.80027,-0.00078
-9.7211,2.25302,5.29271,3.97146,-0.00070
-9.6710,2.37832,5.46308,4.06383,-0.00040
-9.6209,2.56631,5.04494,4.23591,0.00038
-9.5708,2.98818,4.28763,4.77171,0.00171
-9.5207,3.73175,3.67672,5.82463,0.00339
-9.4706,4.63198,3.53076,7.14814,0.00493
-9.4205,5.32408,3.78615,8.17399,0.00590
-9.3704,5.49164,4.11918,8.40150,0.00608
-9.3203,5.07352,4.17207,7.72253,0.00541
-9.2701,4.31138,3.72658,6.48486,0.00384
-9.2200,3.70251,2.82977,5.39980,0.00126
-9.1699,3.80421,1.78466,5.25742,-0.00243
-9.1198,4.78935,0.93186,6.32654,-0.00684
-9.0697,6.07043,0.41903,7.85860,-0.01074
-9.0196,6.59800,0.18277,8.48367,-0.01241
-8.9695,5.77464,0.08970,7.40797,-0.01106
-8.9194,3.99316,0.04839,5.11765,-0.00771
-8.8693,2.17081,0.02441,2.78047,-0.00421
-8.8192,0.92690,0.01022,1.18660,-0.00180
-8.7691,0.31107,0.00347,0.39803,-0.00061
-8.7189,0.08213,0.00093,0.10503,-0.00016
-8.6689,0.01708,0.00020,0.02183,-0.00003
-8.6187,0.00278,0.00003,0.00355,-0.00001
-8.5686,0.00014,0.00000,0.00018,-0.00000
-8.5185,0.00000,0.00000,0.00000,0.00000
-8.4684,0.00000,0.00000,0.00000,0.00000
-8.4183,0.00000,0.00000,0.00000,0.00000
-8.3682,0.00000,0.00000,0.00000,0.00000
-8.3181,0.00000,0.00000,0.00000,0.00000
-8.2680,0.00000,0.00000,0.00000,0.00000
-8.2179,0.00000,0.00000,0.00000,0.00000
-8.1678,0.00000,0.00000,0.00000,0.00000
-8.1176,0.00000,0.00000,0.00000,0.00000
-8.0675,0.00000,0.00000,0.00000,0.00000
-8.0174,0.00000,0.00000,0.00000,0.00000
-7.9673,0.00000,0.00000,0.00000,0.00000
-7.9172,0.00000,0.00000,0.00000,0.00000
-7.8671,0.00001,0.00002,0.00001,-0.00000
-7.8170,0.00073,0.00109,0.00066,-0.00000
-7.7669,0.00526,0.00848,0.00458,-0.00000
-7.7168,0.02734,0.04505,0.02355,-0.00001
-7.6667,0.11241,0.18977,0.09567,-0.00004
-7.6166,0.36506,0.63440,0.30621,-0.00013
-7.5664,0.94314,1.69262,0.77850,-0.00036
-7.5163,1.95408,3.62400,1.58727,-0.00077
-7.4662,3.28900,6.27868,2.63717,-0.00130
-7.4161,4.58851,8.91801,3.66094,-0.00178
-7.3660,5.46467,10.60167,4.39748,-0.00196
-7.3159,5.77634,10.89768,4.76162,-0.00175
-7.2658,5.67698,10.18707,4.84064,-0.00131
-7.2157,5.44788,9.27688,4.79658,-0.00076
-7.1656,5.29931,8.73811,4.76830,0.00006
-7.1155,5.24606,8.51422,4.76465,0.00169
-7.0654,5.14729,8.09456,4.65027,0.00450
-7.0152,4.91925,7.11190,4.32525,0.00818
-6.9651,4.70709,5.76817,3.91965,0.01199
-6.9150,4.79148,4.63842,3.73243,0.01545
-6.8649,5.30207,4.12502,3.94537,0.01840
-6.8148,6.04504,4.17291,4.42985,0.02029
-6.7647,6.65536,4.45754,4.87798,0.02030
-6.7146,6.92274,4.72844,5.11011,0.01850
-6.6645,6.97031,4.95083,5.21778,0.01608
-6.6144,7.17106,5.19840,5.43791,0.01418
-6.5643,7.95385,5.49590,5.97503,0.01285
-6.5142,9.53692,5.74308,6.88258,0.01136
-6.4641,11.55914,5.72483,7.92200,0.00904
-6.4139,12.96483,5.21758,8.51765,0.00562
-6.3638,12.68005,4.17874,8.12378,0.00128
-6.3137,10.67921,2.84946,6.80634,-0.00364
-6.2636,8.15630,1.61662,5.29986,-0.00870
-6.2135,6.44970,0.75099,4.34783,-0.01290
-6.1634,6.03634,0.28301,4.13490,-0.01480
-6.1133,6.67706,0.08695,4.44571,-0.01385
-6.0632,8.15701,0.02374,5.15411,-0.01136
-6.0131,10.46676,0.00891,6.31064,-0.00938
-5.9630,13.24037,0.00756,7.75650,-0.00869
-5.9128,15.33643,0.00866,8.84831,-0.00834
-5.8628,15.40085,0.00950,8.79755,-0.00713
-5.8126,13.01748,0.00913,7.36331,-0.00494
-5.7625,9.14518,0.00730,5.11055,-0.00265
-5.7124,5.32004,0.00379,2.93029,-0.00106
-5.6623,2.56737,-0.00335,1.40318,-0.00032
-5.6122,1.04982,-0.02106,0.61894,-0.00021
-5.5621,0.42837,-0.06344,0.41729,-0.00050
-5.5120,0.31227,-0.14631,0.65169,-0.00114
-5.4619,0.44606,-0.27273,1.26085,-0.00197
-5.4118,0.68680,-0.42386,2.19787,-0.00234
-5.3617,0.95465,-0.57680,3.36210,-0.00073
-5.3116,1.22409,-0.73578,4.59957,0.00585
-5.2614,1.50696,-0.92584,5.74167,0.02334
-5.2113,1.78873,-1.13853,6.65416,0.06331
-5.1612,1.99576,-1.30231,7.31656,0.14570
-5.1111,2.05869,-1.33528,7.88450,0.29626
-5.0610,1.99957,-1.22596,8.61954,0.53283
-5.0109,1.92403,-1.04707,9.67920,0.84408
-4.9608,1.92532,-0.89457,10.94052,1.18053
-4.9107,2.01147,-0.82259,12.03750,1.47491
-4.8606,2.12135,-0.82725,12.60307,1.67785
-4.8105,2.19453,-0.87584,12.50256,1.77107
-4.7603,2.22376,-0.94797,11.85174,1.75080
-4.7102,2.25379,-1.05317,10.88335,1.62232
-4.6601,2.33294,-1.20759,9.85649,1.42097
-4.6100,2.45577,-1.39165,8.99476,1.20953
-4.5599,2.56555,-1.54814,8.39457,1.03174
-4.5098,2.62801,-1.63831,8.02865,0.88859
-4.4597,2.67972,-1.68585,7.87663,0.77343
-4.4096,2.77240,-1.74125,7.96365,0.70027
-4.3595,2.88565,-1.81062,8.22109,0.67643
-4.3094,2.92850,-1.84465,8.40118,0.67179
-4.2593,2.82478,-1.79573,8.22909,0.64160
-4.2092,2.57990,-1.66641,7.65122,0.57254
-4.1590,2.27548,-1.50624,6.90236,0.49224
-4.1089,2.02071,-1.38130,6.32109,0.44132
-4.0588,1.89096,-1.33796,6.10470,0.45059
-4.0087,1.88716,-1.37791,6.29301,0.55343
-3.9586,1.96710,-1.47868,7.03425,0.81343
-3.9085,2.11347,-1.63647,8.77386,1.31985
-3.8584,2.32314,-1.85120,11.97541,2.13091
-3.8083,2.52871,-2.06707,16.62265,3.22009
-3.7582,2.60398,-2.18078,22.08890,4.48443
-3.7081,2.47629,-2.12881,27.43914,5.78896
-3.6580,2.19134,-1.93786,31.79362,6.99561
-3.6078,1.85929,-1.69164,34.66761,7.99100
-3.5577,1.57875,-1.48127,36.29649,8.72230
-3.5076,1.40816,-1.37743,37.53150,9.18593
-3.4575,1.35920,-1.40499,39.18060,9.38770
-3.4074,1.39312,-1.52288,41.45111,9.36890
-3.3573,1.43960,-1.64033,43.93300,9.24323
-3.3072,1.44169,-1.67376,45.79849,9.10631
-3.2571,1.38850,-1.59883,46.09253,8.93202
-3.2070,1.30328,-1.45063,44.38473,8.67207
-3.1569,1.20419,-1.27955,41.38537,8.42424
-3.1067,1.08698,-1.11583,38.64277,8.37285
-3.0566,0.94988,-0.97504,37.40026,8.56708
-3.0065,0.82360,-0.87989,37.74100,8.85369
-2.9564,0.76248,-0.86024,38.75806,9.04083
-2.9063,0.80405,-0.93089,39.45984,9.10640
-2.8562,0.93629,-1.07134,39.57039,9.25261
-2.8061,1.09611,-1.22354,39.54551,9.72459
-2.7560,1.19750,-1.31125,39.83517,10.51038
-2.7059,1.17566,-1.27580,40.27736,11.25085
-2.6558,1.02479,-1.11211,40.39712,11.54218
-2.6057,0.79956,-0.87429,40.03313,11.29629
-2.5556,0.57379,-0.63876,39.32161,10.72900
-2.5055,0.39659,-0.45923,38.34898,10.07765
-2.4553,0.28228,-0.35136,37.21061,9.42873
-2.4052,0.22280,-0.30298,36.19622,8.76237
-2.3551,0.19794,-0.28841,35.60891,8.08934
-2.3050,0.18324,-0.28176,35.51427,7.53788
-2.2549,0.16137,-0.26805,35.79925,7.28635
-2.2048,0.12944,-0.24511,36.30111,7.36785
-2.1547,0.09512,-0.21699,36.70595,7.55187
-2.1046,0.06700,-0.18781,36.46524,7.48947
-2.0545,0.04756,-0.16028,35.04184,7.00581
-2.0044,0.03313,-0.13651,32.33224,6.22868
-1.9543,0.01844,-0.11836,28.87626,5.44674
-1.9041,0.00055,-0.10644,25.59382,4.88238
-1.8540,-0.02022,-0.09946,23.17376,4.57668
-1.8039,-0.04137,-0.09511,21.64635,4.42302
-1.7538,-0.05993,-0.09134,20.56288,4.28448
-1.7037,-0.07437,-0.08663,19.52101,4.09703
-1.6536,-0.08516,-0.07950,18.39446,3.87585
-1.6035,-0.09295,-0.06888,17.10972,3.63464
-1.5534,-0.09655,-0.05480,15.43559,3.32643
-1.5033,-0.09359,-0.03886,13.13721,2.87923
-1.4532,-0.08301,-0.02383,10.26873,2.27981
-1.4030,-0.06652,-0.01227,7.23244,1.61049
-1.3529,-0.04771,-0.00515,4.54205,1.00096
-1.3028,-0.03031,-0.00171,2.53255,0.54544
-1.2527,-0.01683,-0.00044,1.25059,0.26135
-1.2026,-0.00803,-0.00008,0.54328,0.11027
-1.1525,-0.00323,-0.00001,0.20472,0.04067
-1.1024,-0.00108,-0.00000,0.06556,0.01286
-1.0523,-0.00030,-0.00000,0.01745,0.00341
-1.0022,-0.00006,-0.00000,0.00373,0.00072
-0.9521,-0.00001,-0.00000,0.00064,0.00013
-0.9020,-0.00000,-0.00000,0.00007,0.00001
-0.8518,0.00000,0.00000,0.00000,0.00000
-0.8017,0.00000,0.00000,0.00000,0.00000
-0.7516,0.00000,0.00000,0.00000,0.00000
-0.7015,0.00000,0.00000,0.00000,0.00000
-0.6514,0.00000,0.00000,0.00000,0.00000
-0.6013,0.00000,0.00000,0.00000,0.00000
-0.5512,0.00000,0.00000,0.00000,0.00000
-0.5011,0.00000,0.00000,0.00000,0.00000
-0.4510,0.00000,0.00000,0.00000,0.00000
-0.4009,0.00000,0.00000,0.00000,0.00000
-0.3508,0.00000,0.00000,0.00000,0.00000
-0.3006,0.00000,0.00000,0.00000,0.00000
-0.2505,0.00000,0.00000,0.00000,0.00000
-0.2004,0.00000,0.00000,0.00000,0.00000
-0.1503,0.00000,0.00000,0.00000,0.00000
-0.1002,0.00000,0.00000,0.00000,0.00000
-0.0501,0.00000,0.00000,0.00000,0.00000
0.0000,0.00000,0.00000,0.00000,0.00000
0.0501,0.00000,0.00000,0.00000,0.00000
0.1002,0.00000,0.00000,0.00000,0.00000
0.1503,0.00000,0.00000,0.00000,0.00000
0.2004,0.00000,0.00000,0.00000,0.00000
0.2505,0.00000,0.00000,0.00000,0.00000
0.3006,0.00000,0.00000,0.00000,0.00000
0.3508,-0.00000,0.00000,0.00000,0.00000
0.4009,-0.00055,-0.00000,0.00001,-0.00000
0.4510,-0.00488,-0.00003,0.00010,-0.00003
0.5011,-0.02681,-0.00017,0.00054,-0.00018
0.5512,-0.11603,-0.00075,0.00234,-0.00076
0.6013,-0.39639,-0.00258,0.00801,-0.00260
0.6514,-1.06979,-0.00695,0.02161,-0.00701
0.7015,-2.28170,-0.01483,0.04609,-0.01494
0.7516,-3.84554,-0.02499,0.07768,-0.02518
0.8017,-5.11849,-0.03326,0.10339,-0.03352
