# energy-resolved COHP curves
# source /data/work/runs/icohp_n5fu/COHPCAR.lobster  ·  Gaussian sigma 0.1 eV  ·  window [-20.0, 6.0] eV, stride 1
# sign: -pCOHP > 0 = BONDING, < 0 = ANTIBONDING;  E = E - E_F (E_F at 0)
# mean_ = per-bond average (integral to E_F == -ICOHP/bond); sum_ = family convention (plot_lobster_4panel.py)
# {"P-S": {"N": 9, "ICOHP_per_bond_eV": -6.2883, "ICOHP_in_window_eV": -5.2654, "window_coverage": 0.8373, "integral_to_EF_eV": 5.2586, "dmax_A": 2.6, "exclude": ["Li"]}, "P-O": {"N": 3, "ICOHP_per_bond_eV": -8.4156, "ICOHP_in_window_eV": -2.8184, "window_coverage": 0.3349, "integral_to_EF_eV": 2.8154, "dmax_A": null, "exclude": []}, "Nd-S": {"N": 10, "ICOHP_per_bond_eV": -4.0803, "ICOHP_in_window_eV": -3.5498, "window_coverage": 0.87, "integral_to_EF_eV": 3.5498, "dmax_A": null, "exclude": []}, "Nd-Cl": {"N": 2, "ICOHP_per_bond_eV": -2.1889, "ICOHP_in_window_eV": -1.082, "window_coverage": 0.4943, "integral_to_EF_eV": 1.082, "dmax_A": null, "exclude": []}, "Li-S": {"N": 113, "ICOHP_per_bond_eV": -1.7512, "ICOHP_in_window_eV": -1.6511, "window_coverage": 0.9429, "integral_to_EF_eV": 1.6506, "dmax_A": null, "exclude": []}, "Li-Cl": {"N": 47, "ICOHP_per_bond_eV": -1.8051, "ICOHP_in_window_eV": -0.8121, "window_coverage": 0.4499, "integral_to_EF_eV": 0.8121, "dmax_A": null, "exclude": []}, "Li-O": {"N": 18, "ICOHP_per_bond_eV": -1.1282, "ICOHP_in_window_eV": -0.5376, "window_coverage": 0.4765, "integral_to_EF_eV": 0.5378, "dmax_A": null, "exclude": []}, "S-S": {"N": 39, "ICOHP_per_bond_eV": -0.1184, "ICOHP_in_window_eV": -0.1353, "window_coverage": 1.1427, "integral_to_EF_eV": 0.1354, "dmax_A": null, "exclude": ["P", "Li", "Cl"]}}
# ⚠ window_coverage: 이 창 안에 담긴 ICOHP 비율. 1 보다 작으면 창 아래(deep) 결합 기여가 곡선에 없다 — 곡선 적분으로 ICOHP 를 재현할 수 없다.
E_minus_EF_eV,mean_pCOHP_P-S,mean_pCOHP_P-O,mean_pCOHP_Nd-S,mean_pCOHP_Nd-Cl,mean_pCOHP_Li-S,mean_pCOHP_Li-Cl,mean_pCOHP_Li-O,mean_pCOHP_S-S,sum_pCOHP_P-S,sum_pCOHP_P-O,sum_pCOHP_Nd-S,sum_pCOHP_Nd-Cl,sum_pCOHP_Li-S,sum_pCOHP_Li-Cl,sum_pCOHP_Li-O,sum_pCOHP_S-S
-15.0327,0.1478,0.0647,-0.0000,-0.0000,0.0113,-0.0004,-0.0038,-0.0025,1.3301,0.1941,-0.0001,-0.0000,1.2774,-0.0210,-0.0685,-0.0962
-14.9826,0.3714,0.1627,-0.0000,-0.0000,0.0280,-0.0011,-0.0094,-0.0059,3.3423,0.4882,-0.0003,-0.0000,3.1691,-0.0524,-0.1687,-0.2310
-14.9325,0.7427,0.3258,-0.0001,-0.0000,0.0554,-0.0022,-0.0184,-0.0112,6.6843,0.9773,-0.0007,-0.0001,6.2574,-0.1043,-0.3314,-0.4383
-14.8824,1.1820,0.5189,-0.0001,-0.0001,0.0870,-0.0035,-0.0288,-0.0169,10.6382,1.5568,-0.0013,-0.0002,9.8342,-0.1651,-0.5190,-0.6576
-14.8322,1.4967,0.6577,-0.0002,-0.0001,0.1089,-0.0044,-0.0360,-0.0200,13.4703,1.9732,-0.0018,-0.0002,12.3005,-0.2081,-0.6479,-0.7809
-14.7821,1.5070,0.6629,-0.0002,-0.0001,0.1083,-0.0044,-0.0358,-0.0188,13.5632,1.9886,-0.0020,-0.0002,12.2409,-0.2086,-0.6442,-0.7345
-14.7320,1.2058,0.5309,-0.0002,-0.0001,0.0857,-0.0035,-0.0283,-0.0140,10.8521,1.5926,-0.0018,-0.0002,9.6870,-0.1663,-0.5100,-0.5477
-14.6819,0.7660,0.3375,-0.0001,-0.0001,0.0539,-0.0022,-0.0178,-0.0083,6.8937,1.0125,-0.0012,-0.0001,6.0917,-0.1053,-0.3211,-0.3242
-14.6318,0.3859,0.1702,-0.0001,-0.0000,0.0269,-0.0011,-0.0089,-0.0039,3.4734,0.5106,-0.0006,-0.0001,3.0416,-0.0529,-0.1607,-0.1525
-14.5817,0.1541,0.0680,-0.0000,-0.0000,0.0107,-0.0004,-0.0035,-0.0015,1.3869,0.2040,-0.0003,-0.0000,1.2048,-0.0211,-0.0638,-0.0570
-14.5316,0.0487,0.0215,-0.0000,-0.0000,0.0033,-0.0001,-0.0011,-0.0004,0.4385,0.0645,-0.0001,-0.0000,0.3783,-0.0067,-0.0201,-0.0170
-14.4815,0.0122,0.0054,-0.0000,-0.0000,0.0008,-0.0000,-0.0003,-0.0001,0.1097,0.0162,-0.0000,-0.0000,0.0941,-0.0017,-0.0050,-0.0040
-14.4314,0.0024,0.0011,-0.0000,-0.0000,0.0002,-0.0000,-0.0001,-0.0000,0.0217,0.0032,-0.0000,-0.0000,0.0185,-0.0003,-0.0010,-0.0008
-14.3813,0.0004,0.0002,-0.0000,-0.0000,0.0000,-0.0000,-0.0000,-0.0000,0.0032,0.0005,-0.0000,-0.0000,0.0027,-0.0000,-0.0001,-0.0001
