E_eV,E_minus_Ef,total_dos,Li,P,S,Cl,O,Nd
-42.1760,-46.0070,496000.00000,494809.60383,199.75900,212.50307,521.38352,700.20340,0.02259
-42.1660,-45.9970,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-42.1560,-45.9870,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-42.1460,-45.9770,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-42.1360,-45.9670,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-42.1260,-45.9570,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-42.1160,-45.9470,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-42.1060,-45.9370,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-42.0960,-45.9270,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-42.0860,-45.9170,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-42.0760,-45.9070,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-42.0660,-45.8970,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-42.0560,-45.8870,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-42.0460,-45.8770,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-42.0360,-45.8670,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-42.0260,-45.8570,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-42.0160,-45.8470,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-42.0060,-45.8370,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-41.9960,-45.8270,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-41.9860,-45.8170,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-41.9760,-45.8070,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-41.9660,-45.7970,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-41.9560,-45.7870,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-41.9460,-45.7770,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-41.9360,-45.7670,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-41.9260,-45.7570,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-41.9160,-45.7470,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
