"# Li MSD (A^2) vs t — B2O3@LPSCl1.6. Seed-ensemble means, UMA-s-1p1 (omat)."
# t range 0-99 ps @ 1 ps. NOTE: parent file header says '0-200 ps'
#   but the data is truncated to the common length across temperatures.
"# 3 seeds; 600 K b2o3_600_reseed (200 ps), 800/1000 K highT_reseed/b2o3 (100 ps). AXIS RETRACTED 2026-08-25"
"# Fit window 2-50 ps, free intercept: MSD = 6Dt + c."
# !! UMA-MD transport axis RETRACTED 2026-08-25 (anion-sublattice mobility).
#    D / Ea / sigma from these curves are NOT citable. Context only.
t_ps,MSD_600K_A2,MSD_800K_A2,MSD_1000K_A2
0.0,0.000,0.000,0.000
1.0,1.490,2.694,4.930
2.0,2.356,4.319,7.433
3.0,3.326,7.268,9.716
4.0,4.519,8.839,12.438
5.0,5.407,10.174,15.088
6.0,6.052,10.712,16.959
7.0,6.400,11.834,19.760
8.0,7.286,14.612,26.404
9.0,8.363,15.664,31.365
10.0,7.830,16.942,32.036
11.0,8.378,20.075,33.843
12.0,9.786,21.805,35.272
13.0,10.160,23.149,43.005
14.0,10.394,22.497,47.062
15.0,10.426,24.403,50.700
16.0,11.131,26.460,52.901
17.0,13.134,28.810,53.971
18.0,12.984,29.284,56.541
19.0,13.385,30.758,57.519
20.0,13.912,32.459,60.131
21.0,14.580,33.480,65.818
22.0,15.149,31.984,67.746
23.0,15.780,32.900,68.176
24.0,16.251,34.568,71.460
25.0,17.120,35.182,71.224
26.0,17.219,35.549,74.216
27.0,19.169,36.691,76.142
28.0,18.428,39.578,82.203
29.0,18.174,41.329,85.329
30.0,18.993,44.622,87.125
31.0,20.147,45.167,88.999
32.0,21.590,45.632,98.240
33.0,21.909,46.260,101.615
34.0,22.391,47.109,105.007
35.0,24.339,46.780,111.702
36.0,24.480,50.383,116.924
37.0,25.540,52.434,114.628
38.0,26.055,48.987,118.428
39.0,25.795,52.461,121.156
40.0,27.007,54.590,122.908
41.0,27.459,56.868,121.140
42.0,27.348,57.160,126.700
43.0,28.666,59.657,125.962
44.0,28.755,62.619,131.930
45.0,29.887,64.179,137.843
46.0,31.042,65.675,141.531
47.0,31.192,67.922,146.341
48.0,32.551,67.654,150.732
49.0,32.076,67.634,150.503
50.0,33.289,68.729,156.753
51.0,33.162,72.276,159.604
52.0,33.590,74.834,161.469
53.0,32.051,74.930,163.935
54.0,33.086,74.873,169.952
55.0,35.052,76.789,170.161
56.0,34.462,77.859,175.699
57.0,34.674,79.934,178.251
58.0,35.680,81.570,173.321
59.0,37.724,83.306,178.083
60.0,37.062,88.485,178.037
61.0,37.808,87.916,181.836
62.0,38.820,90.435,187.414
63.0,39.440,97.332,183.765
64.0,40.771,95.782,186.501
65.0,40.571,95.881,190.426
66.0,40.944,102.038,194.503
67.0,41.297,102.545,198.963
68.0,42.260,104.350,199.800
69.0,43.253,105.531,202.560
70.0,43.595,107.709,212.206
71.0,43.723,109.274,215.797
72.0,45.144,110.403,221.606
73.0,43.399,109.962,228.588
74.0,45.239,111.616,231.736
75.0,42.673,112.547,233.159
76.0,43.055,114.148,231.573
77.0,42.187,116.987,234.404
78.0,42.705,117.454,237.358
79.0,41.590,118.587,238.801
80.0,42.964,117.992,236.037
81.0,42.650,120.531,240.267
82.0,44.258,119.939,248.523
83.0,44.703,120.090,253.200
84.0,44.374,121.140,252.512
85.0,45.038,122.719,262.140
86.0,46.269,120.314,266.386
87.0,47.079,122.637,266.304
88.0,47.984,120.810,272.778
89.0,50.042,122.725,278.316
90.0,49.436,124.914,282.214
91.0,50.833,127.006,281.124
92.0,49.831,129.840,282.304
93.0,51.141,129.488,282.487
94.0,50.027,132.775,294.036
95.0,52.326,131.164,297.347
96.0,52.350,132.276,305.189
97.0,54.535,135.801,308.236
98.0,55.914,137.588,309.738
99.0,57.036,137.729,312.079
