"# Li MSD (A^2) vs t — LPSOCl1.6. Seed-ensemble means, UMA-s-1p1 (omat)."
# t range 0-99 ps @ 1 ps. NOTE: parent file header says '0-200 ps'
#   but the data is truncated to the common length across temperatures.
# 4 seeds; lpsocl_md ladder+reseed_hiT s2/s3/s4 (200 ps runs); licube EXCLUDED (same-seed rerun)
"# Fit window 2-50 ps, free intercept: MSD = 6Dt + c."
# PROTOCOL GENERATION: gen0_pre_gate. Predates the 2026-08 MTO / trajectory-retention / 4-window standard. Ea values are protocol-conditioned; not comparable to the 400 ps campaign.
#   -> db/properties/md_protocol_generations.json (gates G1-G5)
t_ps,MSD_600K_A2,MSD_800K_A2,MSD_1000K_A2
0.0,0.000,0.000,0.000
1.0,2.274,3.101,4.530
2.0,3.418,4.444,8.088
3.0,3.796,7.119,11.232
4.0,4.862,9.033,13.032
5.0,5.862,10.576,14.818
6.0,5.810,12.092,17.230
7.0,6.047,14.294,20.129
8.0,6.233,15.309,22.723
9.0,6.832,17.108,25.004
10.0,7.132,19.119,28.927
11.0,8.458,20.620,32.528
12.0,9.401,22.137,35.757
13.0,9.346,24.086,36.681
14.0,10.470,24.394,39.364
15.0,10.625,26.445,44.467
16.0,10.671,25.982,46.722
17.0,10.808,26.118,49.310
18.0,10.158,29.904,51.141
19.0,10.576,30.994,56.299
20.0,11.683,33.001,56.911
21.0,11.780,34.522,64.136
22.0,12.012,34.973,71.419
23.0,13.043,34.503,74.076
24.0,13.714,36.937,76.656
25.0,14.181,39.396,78.933
26.0,15.009,40.425,82.038
27.0,15.707,41.834,85.791
28.0,16.690,44.223,87.156
29.0,16.239,43.048,91.094
30.0,16.317,45.580,93.201
31.0,17.509,47.867,94.591
32.0,17.442,52.173,98.837
33.0,16.793,54.780,102.526
34.0,17.363,56.189,108.856
35.0,17.368,59.541,114.394
36.0,16.270,60.453,118.545
37.0,17.331,61.427,122.683
38.0,18.080,63.178,127.503
39.0,18.106,61.942,132.294
40.0,18.067,60.141,131.532
41.0,19.249,61.877,136.608
42.0,19.453,64.405,141.809
43.0,19.588,65.283,148.747
44.0,19.942,70.639,150.114
45.0,20.629,68.964,149.726
46.0,21.943,69.813,151.790
47.0,22.681,69.537,154.132
48.0,21.113,68.311,160.439
49.0,21.541,72.694,163.565
50.0,22.225,73.791,163.660
51.0,23.284,72.705,162.939
52.0,23.279,79.051,163.389
53.0,25.365,79.653,161.626
54.0,25.005,84.454,163.944
55.0,24.532,85.082,166.608
56.0,25.244,90.924,170.185
57.0,24.871,91.871,167.862
58.0,26.433,91.992,174.627
59.0,26.860,89.790,174.455
60.0,25.039,89.197,185.247
61.0,25.150,90.371,185.221
62.0,25.097,92.764,189.708
63.0,26.294,95.295,185.976
64.0,26.343,96.649,186.531
65.0,29.200,96.614,187.627
66.0,29.572,96.971,187.389
67.0,29.668,100.879,191.248
68.0,29.678,104.070,198.476
69.0,29.614,103.761,200.239
70.0,29.644,101.519,201.762
71.0,30.939,105.730,208.992
72.0,30.859,106.428,210.946
73.0,31.081,108.309,217.165
74.0,30.173,106.977,221.157
75.0,30.744,106.746,219.176
76.0,32.140,110.254,224.970
77.0,33.912,112.185,226.186
78.0,34.425,111.321,228.417
79.0,35.775,115.658,234.760
80.0,36.788,118.781,236.213
81.0,37.145,120.901,236.505
82.0,37.307,122.399,239.670
83.0,40.375,125.480,241.051
84.0,42.494,130.182,239.054
85.0,43.574,126.401,231.074
86.0,45.618,130.009,231.847
87.0,45.091,131.209,232.452
88.0,45.269,130.290,237.289
89.0,45.234,134.946,239.904
90.0,43.829,136.076,248.625
91.0,44.116,133.992,255.513
92.0,42.305,138.832,252.707
93.0,44.626,139.498,258.509
94.0,43.932,143.769,268.801
95.0,45.463,148.093,271.430
96.0,46.428,142.854,277.282
97.0,45.453,141.881,281.293
98.0,44.925,149.008,277.162
99.0,47.024,151.408,283.488
